Room_ID,DayType,Occupancy,Ventilation_Status,CO2,PM2.5,Humidity,Temperature,AQ_Label
1,0,1,1,482.749,20.0,50.0,24.0,0
1,0,1,1,495.834,20.0,50.0,24.0,0
1,0,1,1,515.92,20.0,50.0,24.0,0
1,0,1,1,506.004,20.0,50.0,24.0,0
1,0,1,1,494.743,20.0,50.0,24.0,0
1,0,1,1,495.372,20.0,50.0,24.0,0
1,0,1,1,487.741,20.0,50.0,24.0,0
1,0,1,1,480.206,20.0,50.0,24.0,0
1,0,1,1,470.752,20.0,50.0,24.0,0
1,0,1,1,478.388,20.0,50.0,24.0,0
1,0,1,1,509.579,20.0,50.0,24.0,0
1,0,1,1,495.976,20.0,50.0,24.0,0
1,0,1,1,502.043,20.0,50.0,24.0,0
1,0,1,1,488.507,20.0,50.0,24.0,0
1,0,1,1,491.554,20.0,50.0,24.0,0
1,0,1,1,491.673,20.0,50.0,24.0,0
1,0,1,1,496.548,20.0,50.0,24.0,0
1,0,1,1,488.977,20.0,50.0,24.0,0
1,0,1,1,480.358,20.0,50.0,24.0,0
1,0,1,1,491.655,20.0,50.0,24.0,0
1,0,1,1,482.658,20.0,50.0,24.0,0
1,0,1,1,480.813,20.0,50.0,24.0,0
1,0,1,1,476.682,20.0,50.0,24.0,0
1,0,1,1,463.365,20.0,50.0,24.0,0
1,0,1,1,466.567,20.0,50.0,24.0,0
1,0,1,1,481.074,20.0,50.0,24.0,0
1,0,1,1,479.35,20.0,50.0,24.0,0
1,0,1,1,469.842,20.0,50.0,24.0,0
1,0,1,1,477.699,20.0,50.0,24.0,0
